age_groups,location,population,proportion
0-9,Outside,7049671,0.11821867
10-19,Outside,6873476,0.11522287
20-29,Outside,7648816,0.12835695
30-39,Outside,7968732,0.13307224
40-49,Outside,7509799,0.12516244
50-59,Outside,8114533,0.13606572
60-69,Outside,6405619,0.10750643
70-79,Outside,5123121,0.08598585
80+,Outside,3015688,0.05040884
0-9,NorthWest,880072,0.11821867
10-19,NorthWest,855318,0.11522287
20-29,NorthWest,960972,0.12835695
30-39,NorthWest,957343,0.13307224
40-49,NorthWest,885711,0.12516244
50-59,NorthWest,1012335,0.13606572
60-69,NorthWest,805580,0.10750643
70-79,NorthWest,644544,0.08598585
80+,NorthWest,365581,0.05040884